username,password,first_name,last_name,address,national_id,tel
hamed,1,hamed,molavi,Isfahan,0123456789,09130111591
dev,12345678,hamed,molavi,Tehran,1272671127,09130111591
g,44555666,Goli,maleki,Tehran,4563211789,09366399669
Eln,88888888,Elnaz,Babai,Chaloos,8989989898,465415464641
zar,66666666666,Zari,Tashakor,Kerman,7533579511,09149999999
Mor,55555555,Morteza,Razavi,Mashhad,2222222222,25623252659
zar89,9639639639,Zahra,salehi,Brojerd,9511599511,2365445
R,77777777,Reza,Ahangi,Isfahan,5665656565,09315552662
R12,Rahil4545,Rahil,Rahili,Tabriz,1452145214,095615995
M6,Mahla4774,Mahla,Kazemi,Zahedan,9999999999,09365666333
hamid,hamid1234,Hamid,Hsmidi,Hamedan,1478522588,09153335555
